coef,etiqueta
1.2318,0
12.669,1
1.9189,0
1.869,1
0.92867,0
34.409,1
0.9919,0
2.6765,1
0.69151,0
3.4935,1
0.71239,0
2.471,1
0.64413,0
1.7919,1
0.6212,0
6.4249,1
0.70937,0
6.2075,1
4.1662,0
2.7873,1
1.2586,0
1.1626,1
1.2431,0
1.1546,1
1.5721,0
1.5535,1
0.76947,0
0.87596,1
0.80664,0
2.9213,1
0.88506,0
3.4935,1
0.67469,0
7.8391,1
7.4948,0
7.1719,1
1.6342,0
16.504,1
1.1014,0
21.199,1
1.1079,0
1.2251,1
1.036,0
10.291,1
0.78213,0
4.1271,1
0.97251,0
15.945,1
0.78164,0
3.0349,1
0.76613,0
39.856,1
0.77816,0
4.136,1
0.76137,0
8.9616,1
0.89495,0
5.1848,1
0.69735,0
21.694,1
1.3547,0
12.767,1
0.70267,0
4.6682,1
0.74102,0
6.7667,1
0.64891,0
2.7493,1
0.68695,0
18.209,1
0.87664,0
0.80673,1
0.82493,0
3.0848,1
0.74842,0
5.2964,1
0.68396,0
20.096,1
0.97005,0
6.4238,1
0.70929,0
0.71422,1
0.73511,0
3.1994,1
0.66593,0
1.4519,1
0.67523,0
3.9806,1
1.2044,0
6.1692,1
0.87671,0
1.508,1
1.9552,0
22.548,1
0.7402,0
28.552,1
0.96585,0
12.661,1
0.84267,0
24.037,1
0.66648,0
4.7647,1
0.86502,0
4.882,1
0.65822,0
22.377,1
1.4261,0
1.7001,1
0.66043,0
30.649,1
0.72049,0
0.66174,1
1.8616,0
1.7569,1
0.66006,0
1.8173,1
0.78122,0
45.927,1
0.80147,0
8.9958,1
0.65599,0
0.64258,1
0.67011,0
2.5184,1
0.7039,0
4.2476,1
0.78415,0
2.1708,1
0.58949,0
0.70563,1
1.0034,0
2.9161,1
0.84266,0
26.745,1
1.159,0
1.4784,1
0.99932,0
36.107,1
0.6044,0
9.3633,1
0.54473,0
1.9765,1
0.70073,0
10.523,1
0.67596,0
4.9975,1
0.68455,0
11.619,1
0.63267,0
0.61764,1
0.56981,0
0.97765,1
0.59138,0
52.971,1
0.62117,0
28.594,1
0.67961,0
12.089,1
0.54251,0
10.075,1
0.69505,0
24.146,1
0.99798,0
9.0863,1
0.74319,0
33.42,1
0.65732,0
0.77451,1
0.69737,0
8.6572,1
0.44417,0
31.737,1
0.61214,0
3.9854,1
0.64625,0
22.852,1
0.62912,0
10.55,1
0.6723,0
4.8026,1
0.6329,0
68.632,1
0.9557,0
48.882,1
0.75024,0
9.318,1
0.8218,0
22.336,1
0.76361,0
3.9412,1
0.67089,0
0.71506,1
0.82474,0
14.993,1
0.8613,0
38.148,1
4.0055,1
